scorer,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300
bodyparts,Hand,Hand,Hand,Finger1,Finger1,Finger1,Tongue,Tongue,Tongue,Joystick1,Joystick1,Joystick1,Joystick2,Joystick2,Joystick2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
43,518.4009165763855,395.08880043029785,0.28551721572875977,566.6595993041992,396.3763976097107,0.26030558347702026,90.98482728004456,644.3514697253704,0.10603764653205872,566.1752965450287,410.32909631729126,0.20567670464515686,362.6571125984192,677.9995033740997,0.18975210189819336
44,518.0422823429108,396.65935945510864,0.2976541817188263,565.8685773611069,400.19804549217224,0.21624210476875305,90.98001050949097,644.6394140720367,0.10076132416725159,518.999397277832,409.80568075180054,0.18806660175323486,572.7706335186958,411.3778531551361,0.22037926316261292
45,517.6408567428589,398.81077003479004,0.2705290913581848,574.743287563324,413.76453590393066,0.2096470296382904,91.07238352298737,644.488433599472,0.1109430193901062,568.4527261257172,409.06113839149475,0.16940829157829285,586.7914724349976,436.7869002223015,0.2518552541732788
46,536.7767271995544,411.95248889923096,0.3074880838394165,549.4083493947983,416.3369891643524,0.3108181953430176,538.2553609609604,423.18340277671814,0.11710268259048462,535.7434792518616,421.1130644083023,0.25455746054649353,570.2130053043365,454.23257184028625,0.23882260918617249
47,538.5574429035187,430.3369903564453,0.2703914940357208,537.5262470245361,437.8893772363663,0.2992069721221924,540.659077167511,438.2986762523651,0.13812634348869324,534.5818843841553,439.8432981967926,0.23326095938682556,553.3399205207825,470.26251554489136,0.25316688418388367
48,522.3858472108841,450.68140375614166,0.2098543643951416,523.5909624099731,459.093435049057,0.2254715859889984,523.5799048244953,461.12663090229034,0.11853882670402527,89.61109924316406,649.3252902030945,0.17052531242370605,524.4789119064808,470.08709597587585,0.23038378357887268
49,99.09645617008209,636.3236554563046,0.1880393624305725,488.33349657058716,453.1426272392273,0.183272123336792,91.32294023036957,644.926107108593,0.09646648168563843,488.6177535057068,456.0291585922241,0.1992509961128235,361.83680486679077,678.1304183006287,0.18530264496803284
50,468.40871861577034,459.408619761467,0.19302839040756226,473.60740303993225,467.23271495103836,0.1676282286643982,91.51096296310425,645.5578573942184,0.07901129126548767,475.7959986627102,462.13788199424744,0.15354812145233154,360.3177218437195,678.9676759243011,0.23001307249069214
51,449.7145562171936,461.6546484231949,0.17319777607917786,100.40243074297905,650.9150192737579,0.14892101287841797,91.73449632525444,645.6290129423141,0.06921848654747009,355.4258716106415,463.71030139923096,0.17768767476081848,358.8295111656189,679.1948010921478,0.23231425881385803
52,98.94511675834656,637.396528840065,0.16243159770965576,91.79578846693039,644.9944348931313,0.14130276441574097,92.10755471885204,645.3709273338318,0.06637787818908691,355.75716385245323,463.36101627349854,0.14684933423995972,358.35865664482117,665.6006169319153,0.22589558362960815
53,99.30364733934402,637.3996897935867,0.17072942852973938,92.00057394913165,644.7190915346146,0.15213194489479065,91.79663148522377,645.5484253168106,0.07283997535705566,458.9793190956116,473.64778327941895,0.16612687706947327,355.5745696425438,664.4095168113708,0.2703956365585327
54,99.07723516225815,637.3873772621155,0.16170650720596313,100.44311934709549,651.3258969187737,0.1332300305366516,91.53548666834831,645.5088545084,0.06234383583068848,349.8451175689697,466.5930209159851,0.1634472906589508,352.33768486976624,647.8111863136292,0.2525772154331207
55,99.18778520822525,637.3495383262634,0.15895339846611023,91.70747116208076,644.6588194966316,0.14503806829452515,91.73342913389206,645.4314090013504,0.06674507260322571,347.4917163848877,466.7519037723541,0.14743086695671082,349.4552402496338,674.5739129781723,0.1892901062965393
56,99.47919738292694,637.1251603364944,0.16237914562225342,424.9967222213745,478.9700653553009,0.17178896069526672,91.88579788804054,645.2763458490372,0.06826475262641907,344.2504253387451,465.08367681503296,0.17964154481887817,349.469518661499,665.3006629943848,0.19612979888916016
57,404.56135749816895,478.9464430809021,0.24101710319519043,411.6879849433899,492.04711120948195,0.22132575511932373,411.4782444238663,494.5430929660797,0.0887729823589325,344.15025568008423,463.1522698402405,0.20137730240821838,415.33371591567993,491.70243313908577,0.20394963026046753
58,392.7605948448181,480.23872327804565,0.19633224606513977,409.20022416114807,493.82610058784485,0.2439548671245575,408.3329315185547,491.01671904325485,0.08266022801399231,349.4318561553955,466.10443925857544,0.21458923816680908,416.0735750198364,492.0225295778364,0.19507324695587158
59,391.07712602615356,480.10832047462463,0.2618847191333771,390.34674286842346,483.8739470541477,0.2750319242477417,407.9357330799103,491.0002421140671,0.0948818027973175,350.03860998153687,465.9629101753235,0.2315206527709961,415.5110056400299,492.02480419911444,0.18704146146774292
60,390.25107765197754,480.9542660713196,0.2643390893936157,389.8173099756241,484.0955147370696,0.26315033435821533,395.14951342344284,494.1996715068817,0.09102141857147217,348.474317073822,467.17534136772156,0.23198780417442322,398.10112977027893,491.79631377756596,0.19998863339424133
61,387.8280345350504,481.87233448028564,0.2262963354587555,395.2013372182846,499.3105102777481,0.2613624930381775,395.31740778684616,494.3760440349579,0.07262563705444336,349.974534034729,465.310266494751,0.24333325028419495,396.4536232948303,516.9841597676277,0.21835356950759888
62,382.26974391937256,481.87259674072266,0.21552187204360962,391.88725233078003,500.5647947192192,0.27053946256637573,394.0183606147766,506.9583201408386,0.07222574949264526,351.99608278274536,466.2318184375763,0.22319656610488892,345.4684863090515,665.4479112625122,0.22576406598091125
63,388.27591851353645,485.31413316726685,0.22941690683364868,368.97197556495667,483.44156712293625,0.24967056512832642,378.62362802028656,494.13131952285767,0.0792938768863678,353.87455558776855,467.43656527996063,0.22514304518699646,343.007835149765,664.5359311103821,0.2670833170413971
64,387.65511670708656,487.1821961402893,0.177178293466568,347.7031476199627,453.3433983325958,0.2410685122013092,91.41648018360138,645.8998509645462,0.07174056768417358,336.5587034225464,454.80261158943176,0.21681058406829834,343.1729497909546,676.5626398921013,0.2654799222946167
65,98.85601592063904,637.3175435066223,0.16264083981513977,346.9916865825653,452.97505140304565,0.2674673795700073,91.3541209101677,645.9508355855942,0.06922301650047302,335.6834063529968,455.7305555343628,0.25240558385849,343.0108368396759,663.5293238162994,0.26618650555610657
66,339.6387048959732,442.17771208286285,0.18215373158454895,345.9084827899933,454.1224217414856,0.28936323523521423,91.73295304179192,645.2634062767029,0.07014816999435425,334.7610607147217,457.256196975708,0.2527710795402527,340.70369094610214,663.7764108181,0.29309797286987305
67,338.91084027290344,442.85888862609863,0.2103937864303589,331.31952399015427,453.459370136261,0.30305081605911255,330.4425058364868,445.2099355459213,0.07490938901901245,327.1042671203613,452.2863029539585,0.2302500307559967,338.3034107685089,664.8804092407227,0.261324018239975
